,Note Name,Frequency,Times,Cents
124,rest,0.0,1.4396371882086167,0
125,rest,0.0,1.4512471655328798,0
126,C4,257.130994683474,1.4628571428571429,-30
127,C4,257.130994683474,1.474467120181406,-30
128,C4,257.130994683474,1.486077097505669,-30
129,C4,257.130994683474,1.497687074829932,-30
130,C4,257.130994683474,1.509297052154195,-30
131,C4,257.130994683474,1.5209070294784581,-30
132,C4,257.130994683474,1.5325170068027212,-30
133,C4,257.130994683474,1.5441269841269842,-30
134,C4,257.130994683474,1.555736961451247,-30
135,C4,257.130994683474,1.5673469387755101,-30
136,C4,257.130994683474,1.5789569160997732,-30
137,C4,257.130994683474,1.5905668934240362,-30
138,C4,258.62053938239393,1.6021768707482993,-20
139,C4,258.62053938239393,1.6137868480725623,-20
140,C4,258.62053938239393,1.6253968253968254,-20
141,C4,258.62053938239393,1.6370068027210884,-20
142,C4,257.130994683474,1.6486167800453515,-30
143,C4,257.130994683474,1.6602267573696146,-30
144,C4,257.130994683474,1.6718367346938776,-30
145,C4,257.130994683474,1.6834467120181407,-30
146,C4,257.130994683474,1.6950566893424037,-30
147,C4,257.130994683474,1.7066666666666668,-30
148,C4,257.130994683474,1.7182766439909296,-30
149,C4,257.130994683474,1.7298866213151927,-30
150,C4,257.130994683474,1.7414965986394557,-30
151,C4,257.130994683474,1.7531065759637188,-30
152,C4,257.130994683474,1.7647165532879818,-30
153,C4,257.130994683474,1.7763265306122449,-30
154,C4,257.130994683474,1.787936507936508,-30
155,C4,257.130994683474,1.799546485260771,-30
156,C4,257.130994683474,1.811156462585034,-30
157,C4,257.130994683474,1.822766439909297,-30
158,C4,257.130994683474,1.8343764172335602,-30
159,C4,257.130994683474,1.8459863945578232,-30
160,C4,257.130994683474,1.8575963718820863,-30
161,C4,257.130994683474,1.8692063492063493,-30
162,C4,257.130994683474,1.8808163265306121,-30
163,C4,257.130994683474,1.8924263038548752,-30
164,C4,257.130994683474,1.9040362811791383,-30
165,C4,257.130994683474,1.9156462585034013,-30
166,C4,257.130994683474,1.9272562358276644,-30
167,C4,257.130994683474,1.9388662131519274,-30
168,C4,257.130994683474,1.9504761904761905,-30
169,C4,257.130994683474,1.9620861678004535,-30
170,C4,257.130994683474,1.9736961451247166,-30
171,C4,258.62053938239393,1.9853061224489796,-20
172,C4,258.62053938239393,1.9969160997732427,-20
173,C4,257.130994683474,2.0085260770975055,-30
174,C4,257.130994683474,2.020136054421769,-30
175,C4,257.130994683474,2.0317460317460316,-30
176,C4,257.130994683474,2.043356009070295,-30
177,C4,257.130994683474,2.0549659863945577,-30
178,C4,257.130994683474,2.066575963718821,-30
179,C4,257.130994683474,2.078185941043084,-30
180,C4,257.130994683474,2.089795918367347,-30
181,C4,257.130994683474,2.10140589569161,-30
182,C4,258.62053938239393,2.1130158730158732,-20
183,C4,258.62053938239393,2.124625850340136,-20
184,C4,258.62053938239393,2.136235827664399,-20
185,C4,258.62053938239393,2.147845804988662,-20
186,C4,257.130994683474,2.159455782312925,-30
187,C4,257.130994683474,2.1710657596371883,-30
188,C4,255.65002913072473,2.182675736961451,-40
189,C4,255.65002913072473,2.1942857142857144,-40
190,C4,257.130994683474,2.2058956916099772,-30
191,C4,258.62053938239393,2.2175056689342405,-20
192,C4,258.62053938239393,2.2291156462585033,-20
