,Note Name,Frequency,Times,Cents
380,G4,389.73770840503875,4.4117913832199545,-10
381,G4,389.73770840503875,4.423401360544218,-10
382,rest,0.0,4.435011337868481,0
383,rest,0.0,4.446621315192743,0
384,G4,389.73770840503875,4.458231292517007,-10
385,G4,387.4929843823054,4.46984126984127,-20
386,F4,347.21682482900223,4.481451247165533,-10
387,F4,349.2282314330039,4.493061224489796,0
388,F4,351.25128999692595,4.504671201814059,10
389,F4,353.2860680198856,4.516281179138322,20
390,F4,353.2860680198856,4.527891156462585,20
391,F4,353.2860680198856,4.539501133786848,20
392,F4,355.3326333920185,4.551111111111111,30
393,F4,355.3326333920185,4.562721088435374,30
394,F4,355.3326333920185,4.574331065759637,30
395,F4,355.3326333920185,4.5859410430839,30
396,F4,355.3326333920185,4.597551020408163,30
397,F4,353.2860680198856,4.609160997732427,20
398,F4,353.2860680198856,4.620770975056689,20
399,F4,353.2860680198856,4.632380952380952,20
400,F4,353.2860680198856,4.6439909297052155,20
401,F4,353.2860680198856,4.655600907029479,20
402,F4,353.2860680198856,4.667210884353741,20
403,F4,353.2860680198856,4.6788208616780045,20
404,F4,353.2860680198856,4.690430839002268,20
405,F4,353.2860680198856,4.702040816326531,20
406,F4,353.2860680198856,4.713650793650793,20
407,F4,353.2860680198856,4.725260770975057,20
408,F4,353.2860680198856,4.73687074829932,20
409,F4,353.2860680198856,4.748480725623582,20
410,F4,353.2860680198856,4.760090702947846,20
411,F4,353.2860680198856,4.771700680272109,20
412,F4,353.2860680198856,4.783310657596372,20
413,F4,353.2860680198856,4.794920634920635,20
414,F4,353.2860680198856,4.806530612244898,20
415,F4,353.2860680198856,4.818140589569161,20
416,F4,353.2860680198856,4.829750566893424,20
417,F4,353.2860680198856,4.841360544217687,20
418,F4,353.2860680198856,4.85297052154195,20
419,F4,353.2860680198856,4.864580498866213,20
420,F4,353.2860680198856,4.876190476190477,20
421,F4,353.2860680198856,4.887800453514739,20
422,F4,353.2860680198856,4.899410430839002,20
423,F4,353.2860680198856,4.911020408163266,20
424,F4,353.2860680198856,4.922630385487528,20
425,F4,353.2860680198856,4.934240362811791,20
426,F4,353.2860680198856,4.9458503401360545,20
427,F4,353.2860680198856,4.957460317460318,20
428,F4,353.2860680198856,4.96907029478458,20
429,F4,353.2860680198856,4.9806802721088435,20
430,F4,353.2860680198856,4.992290249433107,20
431,F4,353.2860680198856,5.00390022675737,20
432,F4,353.2860680198856,5.015510204081632,20
433,F4,353.2860680198856,5.027120181405896,20
434,F4,353.2860680198856,5.038730158730159,20
