,Note Name,Frequency,Times,Duration
0,rest,0.0,0.5340589569160997,4.760090702947846
1,C4+10,263.1411467822288,5.294149659863946,1.3931972789115648
2,D4+10,295.3659506116579,6.6873469387755105,1.3931972789115648
3,E4+20,333.4576446322876,8.080544217687075,1.3931972789115648
4,F4+20,353.2860680198856,9.47374149659864,1.4164172335600895
5,G4+40,401.1578949656154,10.89015873015873,1.3003174603174603
6,A4+20,445.1125537328459,12.19047619047619,1.3003174603174603
7,B4+10,496.7443381146977,13.49079365079365,1.2770975056689355
8,C5+10,526.2822935644579,14.767891156462586,1.5325170068027205
9,C5+20,529.3310158761313,16.300408163265306,1.0448979591836718
10,rest,0.0,17.345306122448978,2.205895691609978
11,rest,0.0,19.551201814058956,8.568163265306122
12,rest,0.0,28.11936507936508,0.8591383219954665
