time,frequency,confidence
2.450,348.956,0.966634
2.460,349.229,0.967250
2.470,349.436,0.971335
2.480,349.761,0.971487
2.490,349.934,0.973928
2.500,350.155,0.972454
2.510,350.059,0.974205
2.520,350.045,0.972647
2.530,349.745,0.973788
2.540,349.551,0.970079
2.550,349.313,0.971309
2.560,349.054,0.963859
2.570,348.912,0.965003
2.580,348.562,0.953045
2.590,348.510,0.955059
2.600,348.203,0.941088
2.610,348.152,0.943413
2.620,348.148,0.939788
2.630,348.192,0.943684
2.640,348.422,0.951974
2.650,348.618,0.958130
2.660,348.957,0.965288
2.670,349.132,0.969491
2.680,349.473,0.971958
2.690,349.557,0.973728
2.700,349.754,0.974336
2.710,349.627,0.974589
2.720,349.634,0.973788
2.730,349.380,0.973252
2.740,349.349,0.971333
2.750,349.073,0.969447
2.760,349.008,0.966459
2.770,348.672,0.960503
2.780,348.596,0.957189
2.790,348.201,0.942659
2.800,348.251,0.945706
2.810,347.971,0.940689
2.820,348.131,0.940146
2.830,348.286,0.944659
2.840,348.476,0.949858
2.850,348.775,0.959237
2.860,349.076,0.961341
2.870,349.270,0.966897
2.880,349.644,0.965986
2.890,349.730,0.969668
2.900,350.033,0.965424
2.910,350.020,0.967310
2.920,350.198,0.962462
2.930,350.091,0.959899
2.940,350.185,0.956318
2.950,350.050,0.946774
2.960,350.152,0.939419
2.970,350.020,0.913284
2.980,350.595,0.895205
2.990,351.767,0.778633
3.000,355.169,0.522540
3.010,391.976,0.813828
3.020,392.603,0.915619
3.030,392.952,0.942324
3.040,393.272,0.956115
3.050,393.225,0.961352
3.060,393.185,0.962118
3.070,392.921,0.963455
3.080,392.709,0.959996
3.090,392.250,0.955192
3.100,391.847,0.946583
3.110,391.570,0.933588
3.120,391.254,0.937599
3.130,391.302,0.933489
3.140,391.280,0.935092
3.150,391.761,0.941441
3.160,391.956,0.952193
3.170,392.639,0.962252
3.180,392.865,0.966146
3.190,393.169,0.963250
3.200,393.468,0.964833
3.210,393.483,0.968030
3.220,393.646,0.966214
3.230,393.744,0.965204
3.240,393.838,0.965186
3.250,393.677,0.966032
3.260,393.539,0.967834
3.270,393.530,0.968920
3.280,393.465,0.968083
3.290,393.411,0.966741
3.300,393.094,0.968213
3.310,392.898,0.965289
3.320,392.687,0.963009
3.330,392.197,0.957711
3.340,392.053,0.947939
